iso3,year,imports_from_vn_usd,vn_reported_exports_usd
BFA,2004,17417.0,535050.0
BFA,2005,10515993.62,695751.0
BFA,2006,5532254.85,319734.0
BFA,2007,2385375.61,536203.0
BFA,2008,11806568.58,1870469.0
BFA,2009,17064947.09,0
BFA,2010,19692599.9,6360572.0
BFA,2011,24132056.88,995600.0
BFA,2012,11536097.52,978643.0
BFA,2013,29064503.03,5061216.0
BFA,2014,12028007.76,10022761.0
BFA,2015,5759038.04,8470986.0
BFA,2016,44511529.0,715089.61
BFA,2017,10651535.91,573984.8
BFA,2018,14253276.29,0
BFA,2019,16484492.5,0
BFA,2020,16419741.62,0
BFA,2021,32952569.41,0
BGD,2002,6553629.0,9756564.0
BGD,2003,6283182.0,5647221.0
BGD,2004,11472410.0,19492019.0
BGD,2005,17517199.0,22050075.0
BGD,2006,20154145.0,21452083.0
BGD,2007,29080195.0,24858821.0
BGD,2008,80173020.0,47109667.0
BGD,2009,46432574.0,59575669.0
BGD,2010,237309967.0,256130234.0
BGD,2011,198998367.0,445237106.0
BGD,2012,458526289.0,352965420.0
BGD,2013,588623291.0,485719260.0
BGD,2014,0,709898311.0
BGD,2015,722166876.0,569998509.0
BGD,2016,678374644.1,554678742.38
BGD,2017,1134658257.17,868728520.4
BGD,2018,1395945450.37,752292457.22
BGD,2019,0,693878278.98
BGD,2020,0,693109137.7
BGD,2021,0,1273051428.47
BGR,2002,15012773.0,7892530.0
BGR,2003,12298207.0,5990573.0
BGR,2004,13644607.0,7765749.0
BGR,2005,17209572.0,11220783.0
BGR,2006,23457760.0,21601503.0
BGR,2007,61875454.0,35868052.0
BGR,2008,105696676.0,75110110.0
BGR,2009,69665193.0,41348336.0
BGR,2010,37506936.0,36913319.0
BGR,2011,26671558.0,26857382.0
BGR,2012,40493178.0,37016285.0
BGR,2013,40462504.0,41208508.0
BGR,2014,67828554.0,47704749.0
BGR,2015,50252515.0,40845028.0
BGR,2016,45572303.18,44629943.84
BGR,2017,49367170.5,38286567.0
BGR,2018,55654245.6,36060005.93
BGR,2019,76135069.76,58397150.62
BGR,2020,77272282.84,58192246.96
BGR,2021,115446111.76,107310380.58
BHR,2002,10798099.0,171050.0
BHR,2003,1914901.0,255623.0
BHR,2004,3060333.0,1013903.0
BHR,2005,23112280.0,1385496.0
BHR,2006,2174382.0,1069845.0
BHR,2007,2906160.0,1327802.0
BHR,2008,8572111.0,3745159.0
BHR,2009,6239306.0,3527931.0
BHR,2010,8963555.0,5569440.0
BHR,2011,18582798.0,7431610.0
BHR,2012,87073894.0,6009673.0
BHR,2013,31470058.0,7000296.0
BHR,2014,96549809.0,13889073.0
BHR,2015,154939926.24,15493561.0
BHR,2016,149623385.52,18148147.34
BHR,2017,145845920.03,19899770.6
BHR,2018,172831830.76,0
BHR,2019,136183488.14,0
BHR,2020,125981995.44,0
BHR,2021,93088935.57,0
BHS,2002,0,195209.0
BHS,2003,8681.0,269949.0
