iso3,name,income_group,region,comtrade_years,tariff_years,vn_trade_years,vn_mirror_years,vn_imports_latest_year,vn_imports_latest_usd,vn_imports_mean_usd,avg_records_per_year,tier,reason
MDA,Moldova,Upper middle income,Europe & Central Asia,20,16,20,9,2021,52818284,19884336,569927,A,"full: 20 filing years, tariff and VN trade throughout"
TZA,Tanzania,Lower middle income,Sub-Saharan Africa ,20,17,20,20,2021,35952797,19026206,99982,A,"full: 20 filing years, tariff and VN trade throughout"
ARM,Armenia,Upper middle income,Europe & Central Asia,20,19,20,12,2021,36525486,17738191,362043,A,"full: 20 filing years, tariff and VN trade throughout"
UGA,Uganda,Low income,Sub-Saharan Africa ,20,19,20,17,2021,28094623,16875272,152471,A,"full: 20 filing years, tariff and VN trade throughout"
ISL,Iceland,High income,Europe & Central Asia,20,17,20,14,2021,59436705,16217408,101025,A,"full: 20 filing years, tariff and VN trade throughout"
NIC,Nicaragua,Lower middle income,Latin America & Caribbean ,20,20,20,14,2021,49799451,16134547,85336,A,"full: 20 filing years, tariff and VN trade throughout"
MDG,Madagascar,Low income,Sub-Saharan Africa ,20,20,20,14,2021,37941236,14602008,441354,A,"full: 20 filing years, tariff and VN trade throughout"
BFA,Burkina Faso,Low income,Sub-Saharan Africa ,20,20,20,15,2021,32952569,14531502,37620,A,"full: 20 filing years, tariff and VN trade throughout"
BOL,Bolivia,Lower middle income,Latin America & Caribbean ,20,20,20,10,2021,38959358,14252371,227380,A,"full: 20 filing years, tariff and VN trade throughout"
FJI,Fiji,Upper middle income,East Asia & Pacific,20,16,20,16,2021,21347789,13587508,72683,A,"full: 20 filing years, tariff and VN trade throughout"
GEO,Georgia,Upper middle income,Europe & Central Asia,20,16,20,16,2021,9188802,9832059,225435,A,"full: 20 filing years, tariff and VN trade throughout"
ALB,Albania,Upper middle income,Europe & Central Asia,20,20,19,9,2021,24675108,9514869,189388,A,"full: 20 filing years, tariff and VN trade throughout"
ZMB,Zambia,Lower middle income,Sub-Saharan Africa ,20,17,20,15,2021,14007639,9170180,843253,A,"full: 20 filing years, tariff and VN trade throughout"
NER,Niger,Low income,Sub-Saharan Africa ,20,20,20,7,2021,12379243,8708586,31669,A,"full: 20 filing years, tariff and VN trade throughout"
BEN,Benin,Lower middle income,Sub-Saharan Africa ,20,20,20,16,2021,21058040,5995163,82928,A,"full: 20 filing years, tariff and VN trade throughout"
MLT,Malta,High income,"Middle East, North Africa, Afghanistan & Pakistan",20,20,20,19,2021,5110020,5919664,295694,A,"full: 20 filing years, tariff and VN trade throughout"
BDI,Burundi,Low income,Sub-Saharan Africa ,20,18,16,8,2021,3323258,5181686,89697,A,"full: 20 filing years, tariff and VN trade throughout"
RWA,Rwanda,Low income,Sub-Saharan Africa ,20,17,20,9,2021,6490617,5002801,81493,A,"full: 20 filing years, tariff and VN trade throughout"
MDV,Maldives,Upper middle income,South Asia,20,19,20,8,2021,12976398,4826988,76702,A,"full: 20 filing years, tariff and VN trade throughout"
KGZ,Kyrgyz Republic,Lower middle income,Europe & Central Asia,20,18,20,8,2021,28626754,3969367,69731,A,"full: 20 filing years, tariff and VN trade throughout"
BLZ,Belize,Upper middle income,Latin America & Caribbean ,20,18,19,7,2021,5574090,2638466,83613,A,"full: 20 filing years, tariff and VN trade throughout"
GUY,Guyana,High income,Latin America & Caribbean ,20,17,20,7,2021,2887008,1462888,105897,A,"full: 20 filing years, tariff and VN trade throughout"
NAM,Namibia,Lower middle income,Sub-Saharan Africa ,20,19,20,10,2021,3110257,1103243,210790,A,"full: 20 filing years, tariff and VN trade throughout"
CAF,Central African Republic,Low income,Sub-Saharan Africa ,20,15,17,8,2021,409342,887588,7797,A,"full: 20 filing years, tariff and VN trade throughout"
SWZ,Eswatini,Lower middle income,Sub-Saharan Africa ,20,19,15,6,2021,1092461,616524,63914,A,"full: 20 filing years, tariff and VN trade throughout"
VCT,St. Vincent and the Grenadines,Upper middle income,Latin America & Caribbean ,20,15,19,2,2021,811088,321762,39174,A,"full: 20 filing years, tariff and VN trade throughout"
BWA,Botswana,Upper middle income,Sub-Saharan Africa ,20,19,19,8,2021,472759,240906,109740,A,"full: 20 filing years, tariff and VN trade throughout"
THA,Thailand,Upper middle income,East Asia & Pacific,20,13,20,20,2021,6968131747,2867517371,1991887,B,usable: filing/tariff/VN-trade coverage has gaps
KHM,Cambodia,Lower middle income,East Asia & Pacific,20,13,20,20,2021,3019091224,1054326010,50213,B,usable: filing/tariff/VN-trade coverage has gaps
BGD,Bangladesh,Lower middle income,South Asia,16,17,16,20,2018,1395945450,352016843,94850,B,usable: filing/tariff/VN-trade coverage has gaps
KWT,Kuwait,High income,"Middle East, North Africa, Afghanistan & Pakistan",18,20,17,20,2021,394830635,240951255,373263,B,usable: filing/tariff/VN-trade coverage has gaps
PAK,Pakistan,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",19,19,19,20,2021,577396818,186463679,180888,B,usable: filing/tariff/VN-trade coverage has gaps
DZA,Algeria,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",16,15,16,20,2017,457328750,172005186,83689,B,usable: filing/tariff/VN-trade coverage has gaps
GHA,Ghana,Lower middle income,Sub-Saharan Africa ,19,14,19,20,2021,393603708,164764591,322546,B,usable: filing/tariff/VN-trade coverage has gaps
LKA,Sri Lanka,Upper middle income,South Asia,19,17,19,20,2021,426650971,132070588,160056,B,usable: filing/tariff/VN-trade coverage has gaps
KAZ,Kazakhstan,Upper middle income,Europe & Central Asia,20,14,20,20,2021,35847348,105259496,147107,B,usable: filing/tariff/VN-trade coverage has gaps
AGO,Angola,Lower middle income,Sub-Saharan Africa ,18,17,18,20,2021,9011287,69502836,465189,B,usable: filing/tariff/VN-trade coverage has gaps
LBN,Lebanon,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",20,12,20,16,2021,42215000,68807072,143366,B,usable: filing/tariff/VN-trade coverage has gaps
NGA,Nigeria,Lower middle income,Sub-Saharan Africa ,18,14,18,20,2021,104120889,51297357,103230,B,usable: filing/tariff/VN-trade coverage has gaps
CMR,Cameroon,Lower middle income,Sub-Saharan Africa ,20,14,20,20,2021,14592552,39883791,64551,B,usable: filing/tariff/VN-trade coverage has gaps
TUN,Tunisia,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",20,13,20,20,2021,67634654,39253864,104871,B,usable: filing/tariff/VN-trade coverage has gaps
KEN,Kenya,Lower middle income,Sub-Saharan Africa ,17,18,16,20,2021,90394016,33475840,136433,B,usable: filing/tariff/VN-trade coverage has gaps
BIH,Bosnia and Herzegovina,Upper middle income,Europe & Central Asia,19,16,19,6,2021,79268342,33130469,737148,B,usable: filing/tariff/VN-trade coverage has gaps
HND,Honduras,Lower middle income,Latin America & Caribbean ,18,16,18,16,2021,127309910,30128235,85557,B,usable: filing/tariff/VN-trade coverage has gaps
MNG,Mongolia,Upper middle income,East Asia & Pacific,15,17,14,14,2021,79716590,29459475,128838,B,usable: filing/tariff/VN-trade coverage has gaps
ETH,Ethiopia,Low income,Sub-Saharan Africa ,20,10,20,14,2021,32984219,27469084,187102,B,usable: filing/tariff/VN-trade coverage has gaps
AZE,Azerbaijan,Upper middle income,Europe & Central Asia,20,13,20,18,2021,112699486,22540168,281996,B,usable: filing/tariff/VN-trade coverage has gaps
BRN,Brunei Darussalam,High income,East Asia & Pacific,19,17,19,19,2021,47785113,17038699,89501,B,usable: filing/tariff/VN-trade coverage has gaps
TTO,Trinidad and Tobago,High income,Latin America & Caribbean ,20,12,20,16,2021,95943018,14619164,185071,B,usable: filing/tariff/VN-trade coverage has gaps
GAB,Gabon,Upper middle income,Sub-Saharan Africa ,20,14,19,16,2021,22210228,13474999,50507,B,usable: filing/tariff/VN-trade coverage has gaps
MLI,Mali,Low income,Sub-Saharan Africa ,16,20,16,15,2021,15022759,8085079,38065,B,usable: filing/tariff/VN-trade coverage has gaps
PYF,French Polynesia,High income,East Asia & Pacific,20,13,20,2,2021,22224445,7744954,85016,B,usable: filing/tariff/VN-trade coverage has gaps
JAM,Jamaica,Upper middle income,Latin America & Caribbean ,20,13,20,14,2021,15904898,6937849,78055,B,usable: filing/tariff/VN-trade coverage has gaps
COG,"Congo, Rep.",Lower middle income,Sub-Saharan Africa ,15,13,15,20,2021,2915797,6693846,73052,B,usable: filing/tariff/VN-trade coverage has gaps
LSO,Lesotho,Lower middle income,Sub-Saharan Africa ,20,18,13,7,2021,11546654,6685196,247760,B,usable: filing/tariff/VN-trade coverage has gaps
SLB,Solomon Islands,Lower middle income,East Asia & Pacific,17,13,17,10,2018,27031363,6288804,19709,B,usable: filing/tariff/VN-trade coverage has gaps
TGO,Togo,Lower middle income,Sub-Saharan Africa ,19,20,19,20,2021,14857485,4480762,124299,B,usable: filing/tariff/VN-trade coverage has gaps
COM,Comoros,Lower middle income,Sub-Saharan Africa ,20,12,17,5,2021,12696213,3898390,25289,B,usable: filing/tariff/VN-trade coverage has gaps
